Board,Net,Component,Designator,Connector Name,,
a_box,GND,P6,1,BMS,,
a_box,UART_FAULT_5,P6,2,BMS,,
a_box,UART_TX_5,P6,3,BMS,,
a_box,UART_RX_5,P6,4,BMS,,
a_box,NetP8_1,P8,1,CURR_CLAMP,,
a_box,Isense_Ch1_raw,P8,2,CURR_CLAMP,,
a_box,ISENSE_WIRE-,P8,3,CURR_CLAMP,,
a_box,GND,P8,4,CURR_CLAMP,,
a_box,Isense_Ch2_raw,P8,5,CURR_CLAMP,,
a_box,ISENSE_WIRE+,P8,6,CURR_CLAMP,,
a_box,NetP14_1,P14,1,HVIL,,
a_box,MC-_Fused,P14,3,HVIL,,
a_box,Batt-,P5,1,IMD_HV,,
a_box,Batt+_Fused,P5,3,IMD_HV,,
a_box,24V_Prot,P10,1,IMD_LV,,
a_box,GND,P10,2,IMD_LV,,
a_box,IMD_Status,P10,3,IMD_LV,,
a_box,IMD_DATA_HS,P10,4,IMD_LV,,
a_box,IMD_DATA_LS,P10,5,IMD_LV,,
a_box,ISense Ch2,P9,1,MAIN,,
a_box,ISense Ch1,P9,2,MAIN,,
a_box,BMS Status Charger,P9,3,MAIN,,
a_box,NotPrechargeComplete,P9,4,MAIN,,
a_box,SDC,P9,5,MAIN,,
a_box,VBatt,P9,6,MAIN,,
a_box,BMS Status PDU,P9,7,MAIN,,
a_box,IMD_STATUS_LV_COMP,P9,8,MAIN,,
a_box,GND,P9,9,MAIN,,
a_box,VCAN_P,P9,10,MAIN,,
a_box,24V_Raw,P9,11,MAIN,,
a_box,GND,P9,12,MAIN,,
a_box,ISENSE_WIRE+,P9,13,MAIN,,
a_box,Charger 24V,P9,14,MAIN,,
a_box,ISENSE_WIRE-,P9,15,MAIN,,
a_box,GND,P9,18,MAIN,,
a_box,GND,P9,19,MAIN,,
a_box,VCAN_N,P9,20,MAIN,,
a_box,GND,U1,10,MCU,,
a_box,3V3,U1,11,MCU,,
a_box,RST,U1,14,MCU,,
a_box,TMU_1_FILT_BOOST,U1,15,MCU,,
a_box,TMU_2_FILT_BOOST,U1,16,MCU,,
a_box,TMU_3_FILT_BOOST,U1,17,MCU,,
a_box,TMU_4_FILT_BOOST,U1,18,MCU,,
a_box,3V3,U1,19,MCU,,
a_box,GND,U1,20,MCU,,
a_box,Vref,U1,21,MCU,,
a_box,3V3,U1,22,MCU,,
a_box,ISense Ch1,U1,23,MCU,,
a_box,ISense Ch2,U1,24,MCU,,
a_box,GND,U1,27,MCU,,
a_box,3V3,U1,28,MCU,,
a_box,5V_VS,U1,32,MCU,,
a_box,BOARD_TEMP,U1,35,MCU,,
a_box,HEARTBEAT,U1,44,MCU,,
a_box,CONN_LED,U1,45,MCU,,
a_box,ERR_LED,U1,46,MCU,,
a_box,NetC25_1,U1,49,MCU,,
a_box,3V3,U1,50,MCU,,
a_box,MUX_D_NON_ISO,U1,63,MCU,,
a_box,MUX_C_NON_ISO,U1,64,MCU,,
a_box,MUX_B_NON_ISO,U1,65,MCU,,
a_box,MUX_A_NON_ISO,U1,66,MCU,,
a_box,VCAN_RX,U1,70,MCU,,
a_box,VCAN_TX,U1,71,MCU,,
a_box,SWDIO,U1,72,MCU,,
a_box,NetC24_1,U1,73,MCU,,
a_box,GND,U1,74,MCU,,
a_box,3V3,U1,75,MCU,,
a_box,SWCLK,U1,76,MCU,,
a_box,IMD_DATA_LS_COMP,U1,77,MCU,,
a_box,UART_TX,U1,78,MCU,,
a_box,UART_RX,U1,79,MCU,,
a_box,UART_FAULT,U1,80,MCU,,
a_box,Discharge Enable,U1,81,MCU,,
a_box,BMS_Status,U1,82,MCU,,
a_box,Charger Safety,U1,83,MCU,,
a_box,Charge Enable,U1,84,MCU,,
a_box,IMD_DATA_HS_COMP,U1,89,MCU,,
a_box,IMD_STATUS_LV_COMP,U1,91,MCU,,
a_box,NetR7_2,U1,94,MCU,,
a_box,GND,U1,99,MCU,,
a_box,3V3,U1,100,MCU,,
a_box,Discharge Enable,P12,1,ORION,,
a_box,Charge Enable,P12,2,ORION,,
a_box,Charger Safety,P12,3,ORION,,
a_box,VCAN_N,P12,4,ORION,,
a_box,VCAN_P,P12,5,ORION,,
a_box,GND,P12,6,ORION,,
a_box,24V_Prot,P12,7,ORION,,
a_box,GND,P12,8,ORION,,
a_box,Charger 24V,P12,9,ORION,,
a_box,5V_BMS,P12,10,ORION,,
a_box,Isense_Ch1_raw,P12,11,ORION,,
a_box,Isense_Ch2_raw,P12,12,ORION,,
a_box,MC+,P13,1,PRECHARGE,,
a_box,NetK1_4,P13,3,PRECHARGE,,
a_box,MUX_A_NON_ISO,P4,2,TMU_1,,
a_box,MUX_B_NON_ISO,P4,3,TMU_1,,
a_box,MUX_C_NON_ISO,P4,4,TMU_1,,
a_box,MUX_D_NON_ISO,P4,5,TMU_1,,
a_box,3V3_TMU,P4,6,TMU_1,,
a_box,TMU_1,P4,7,TMU_1,,
a_box,GND,P4,8,TMU_1,,
a_box,MUX_A_NON_ISO,P3,2,TMU_2,,
a_box,MUX_B_NON_ISO,P3,3,TMU_2,,
a_box,MUX_C_NON_ISO,P3,4,TMU_2,,
a_box,MUX_D_NON_ISO,P3,5,TMU_2,,
a_box,3V3_TMU,P3,6,TMU_2,,
a_box,TMU_2,P3,7,TMU_2,,
a_box,GND,P3,8,TMU_2,,
a_box,MUX_A_NON_ISO,P2,2,TMU_3,,
a_box,MUX_B_NON_ISO,P2,3,TMU_3,,
a_box,MUX_C_NON_ISO,P2,4,TMU_3,,
a_box,MUX_D_NON_ISO,P2,5,TMU_3,,
a_box,3V3_TMU,P2,6,TMU_3,,
a_box,TMU_3,P2,7,TMU_3,,
a_box,GND,P2,8,TMU_3,,
a_box,MUX_A_NON_ISO,P1,2,TMU_4,,
a_box,MUX_B_NON_ISO,P1,3,TMU_4,,
a_box,MUX_C_NON_ISO,P1,4,TMU_4,,
a_box,MUX_D_NON_ISO,P1,5,TMU_4,,
a_box,3V3_TMU,P1,6,TMU_4,,
a_box,TMU_4,P1,7,TMU_4,,
a_box,GND,P1,8,TMU_4,,
a_box,MC-,P7,1,VTAP,,
a_box,MC+,P7,3,VTAP,,
a_box,Batt-,P7,4,VTAP,,
a_box,Batt+,P7,6,VTAP,,
Charger,VCAN_N,P301,1,ABOX,,
Charger,VCAN_P,P301,2,ABOX,,
Charger,GND,P301,3,ABOX,,
Charger,GND,P301,4,ABOX,,
Charger,24V,P301,5,ABOX,,
Charger,IMD_STATUS,P301,6,ABOX,,
Charger,GND,P301,7,ABOX,,
Charger,BMS_STATUS,P301,8,ABOX,,
Charger,SDC_FINAL,P301,9,ABOX,,
Charger,GND,P301,10,ABOX,,
Charger,SDC_FINAL,P301,11,ABOX,,
Charger,GND,P301,12,ABOX,,
Charger,SDC_FINAL,P301,13,ABOX,,
Charger,24V,P301,14,ABOX,,
Charger,12V_Raw,P300,1,CHARGER,,
Charger,GND,P300,2,CHARGER,,
Charger,VCAN_P,P300,3,CHARGER,,
Charger,VCAN_N,P300,4,CHARGER,,
Charger,GND,P300,5,CHARGER,,
Charger,SDC_FINAL,P300,6,CHARGER,,
Charger,VCAN_N,P300,7,CHARGER,,
Charger,VCAN_P,P300,8,CHARGER,,
Charger,GND,P300,11,CHARGER,,
Charger,SDC_FINAL,P300,12,CHARGER,,
Charger,GND,P300,13,CHARGER,,
Charger,SDC_FINAL,P300,14,CHARGER,,
Charger,SDC_FINAL,P300,15,CHARGER,,
Charger,SDC_HVD,P300,16,CHARGER,,
Charger,SDC_HVD,P300,17,CHARGER,,
Charger,SDC_ESTOP,P300,18,CHARGER,,
Charger,SDC_ESTOP,P300,19,CHARGER,,
Charger,SDC_IMD,P300,20,CHARGER,,
Collector,MUX_B,J4,1,ABOX,,
Collector,MUX_A,J4,2,ABOX,,
Collector,GND_I,J4,3,ABOX,,
Collector,MUX_C,J4,4,ABOX,,
Collector,TEMP_OUT,J4,5,ABOX,,
Collector,MUX_D,J4,7,ABOX,,
Collector,3V3,J4,8,ABOX,,
Collector,CELL_0,J3,1,ORION,,
Collector,CELL_2,J3,2,ORION,,
Collector,CELL_4,J3,3,ORION,,
Collector,CELL_6,J3,4,ORION,,
Collector,CELL_8,J3,5,ORION,,
Collector,CELL_10,J3,6,ORION,,
Collector,CELL_12,J3,7,ORION,,
Collector,CELL_13,J3,8,ORION,,
Collector,CELL_15,J3,9,ORION,,
Collector,CELL_17,J3,10,ORION,,
Collector,CELL_19,J3,11,ORION,,
Collector,CELL_19,J3,12,ORION,,
Collector,CELL_1,J3,13,ORION,,
Collector,CELL_3,J3,14,ORION,,
Collector,CELL_5,J3,15,ORION,,
Collector,CELL_7,J3,16,ORION,,
Collector,CELL_9,J3,17,ORION,,
Collector,CELL_11,J3,18,ORION,,
Collector,CELL_12,J3,19,ORION,,
Collector,CELL_14,J3,20,ORION,,
Collector,CELL_16,J3,21,ORION,,
Collector,CELL_18,J3,22,ORION,,
Collector,CELL_19,J3,23,ORION,,
Collector,CELL_19,J3,24,ORION,,
Dashboard,USART_LCD_TX,P1,1,DASH,,
Dashboard,USART_LCD_RX,P1,2,DASH,,
Dashboard,B1,P1,3,DASH,,
Dashboard,B2,P1,4,DASH,,
Dashboard,B3,P1,5,DASH,,
Dashboard,START_BTN,P1,6,DASH,,
Dashboard,NetP1_8,P1,8,DASH,,
Dashboard,NetP1_9,P1,9,DASH,,
Dashboard,NetP1_10,P1,10,DASH,,
Dashboard,ENC_A,P1,11,DASH,,
Dashboard,ENC_B,P1,12,DASH,,
Dashboard,DAQ_SW,P1,13,DASH,,
Dashboard,+5V,P1,14,DASH,,
Dashboard,GND,P1,15,DASH,,
Dashboard,GND,P1,16,DASH,,
Dashboard,GND,P1,17,DASH,,
Dashboard,GND,P1,18,DASH,,
Dashboard,GND,P1,19,DASH,,
Dashboard,GND,P1,20,DASH,,
Dashboard,GND,P1,21,DASH,,
Dashboard,GND,P1,22,DASH,,
Dashboard,GND,P1,23,DASH,,
Dashboard,GND,P1,24,DASH,,
Dashboard,SDC6,P1,25,DASH,,
Dashboard,SDC5,P1,26,DASH,,
Dashboard,GND,J2,3,MAIN,,
Dashboard,BRK_STAT,J2,4,MAIN,,
Dashboard,BRK_FAIL,J2,5,MAIN,,
Dashboard,24V_Raw,J2,6,MAIN,,
Dashboard,GND,J2,7,MAIN,,
Dashboard,VCAN_P,J2,8,MAIN,,
Dashboard,VCAN_N,J2,9,MAIN,,
Dashboard,SDC3,J2,11,MAIN,,
Dashboard,SDC4,J2,12,MAIN,,
Dashboard,SDC5,J2,13,MAIN,,
Dashboard,SDC6,J2,14,MAIN,,
Dashboard,IMD_LED,U6,1,MCU,,
Dashboard,BMS_LED,U6,2,MCU,,
Dashboard,GND,U6,10,MCU,,
Dashboard,+3V3,U6,11,MCU,,
Dashboard,MCU_RESET,U6,14,MCU,,
Dashboard,PotAmpL,U6,15,MCU,,
Dashboard,PotAmpR,U6,16,MCU,,
Dashboard,LV-5V-V-Sense,U6,17,MCU,,
Dashboard,LV-3V3-V-Sense,U6,18,MCU,,
Dashboard,+3V3,U6,19,MCU,,
Dashboard,GND,U6,20,MCU,,
Dashboard,ADCREF,U6,21,MCU,,
Dashboard,+3V3,U6,22,MCU,,
Dashboard,BRK1_FLT,U6,23,MCU,,
Dashboard,BRK2_FLT,U6,24,MCU,,
Dashboard,THRTL1_FLT,U6,25,MCU,,
Dashboard,THRTL2_FLT,U6,26,MCU,,
Dashboard,GND,U6,27,MCU,,
Dashboard,+3V3,U6,28,MCU,,
Dashboard,BRK_FAIL_TAP,U6,31,MCU,,
Dashboard,BRK_STAT_TAP,U6,32,MCU,,
Dashboard,LV-12V-V-Sense,U6,33,MCU,,
Dashboard,LV-24V-V-Sense,U6,34,MCU,,
Dashboard,LOAD_FR_FLT,U6,35,MCU,,
Dashboard,LOAD_FL_FLT,U6,36,MCU,,
Dashboard,ERR_LED,U6,38,MCU,,
Dashboard,CONN_LED,U6,39,MCU,,
Dashboard,HEARTBEAT,U6,40,MCU,,
Dashboard,SPI2_nWP,U6,48,MCU,,
Dashboard,VCAP1,U6,49,MCU,,
Dashboard,+3V3,U6,50,MCU,,
Dashboard,SPI2_NSS_EEPROM,U6,51,MCU,,
Dashboard,SPI2_SCK,U6,52,MCU,,
Dashboard,SPI2_MISO,U6,53,MCU,,
Dashboard,SPI2_MOSI,U6,54,MCU,,
Dashboard,DAQ_SW_FLT,U6,55,MCU,,
Dashboard,ENC_B_FLT,U6,56,MCU,,
Dashboard,ENC_A_FLT,U6,57,MCU,,
Dashboard,START_FLT,U6,58,MCU,,
Dashboard,B3_FLT,U6,59,MCU,,
Dashboard,B2_FLT,U6,60,MCU,,
Dashboard,B1_FLT,U6,61,MCU,,
Dashboard,NF_NFAULT,U6,65,MCU,,
Dashboard,USART_LCD_TX,U6,68,MCU,,
Dashboard,USART_LCD_RX,U6,69,MCU,,
Dashboard,SWDIO,U6,72,MCU,,
Dashboard,VCAP2,U6,73,MCU,,
Dashboard,GND,U6,74,MCU,,
Dashboard,+3V3,U6,75,MCU,,
Dashboard,SWCLK,U6,76,MCU,,
Dashboard,CAN_RX,U6,81,MCU,,
Dashboard,CAN_TX,U6,82,MCU,,
Dashboard,NetR24_2,U6,94,MCU,,
Dashboard,PRCHG_LED,U6,98,MCU,,
Dashboard,GND,U6,99,MCU,,
Dashboard,+3V3,U6,100,MCU,,
